机会名称,机会类型,机会类型分组,主办方,议题标签,主题分区,相关度,截止日期,会议日期,地点/线上,原网页链接,申请/投稿链接,参加条件,费用,是否有资助,资助说明链接,需要准备的材料,岗位类型,岗位职能,排除原因,行动优先级,状态,备注,发现日期,最近核查日期,链接指纹
Research Intern,internship,Internship,United Nations Economic and Social Commission for Asia and the Pacific,economic affairs; sustainable development; policy research; Asia-Pacific; UN system,可持续发展/气候,高,2026-07-19,Needs checking,"New Delhi, India",https://careers.un.org/jobSearchDescription/278801?language=en,https://careers.un.org/jobSearchDescription/278801?language=en,"UN internship eligibility; academic status, language and skills requirements need checking in the official vacancy.",No application fee; stipend and personal cost coverage need checking.,Needs checking,Needs checking,"UN Careers application profile, education history, cover letter or motivation information; exact materials need checking.",Internship,Policy research,,高,值得申请,Good research-oriented UN internship with direct relevance to development and economic policy.,2026-07-10,2026-07-10,bbe551b523999001
Data Analysis Intern,internship,Internship,United Nations Department of Global Communications,data analysis; communications; public information; UN system; digital engagement,全球治理/国际组织,中,2026-07-20,Needs checking,"New York, United States",https://careers.un.org/jobSearchDescription/279257,https://careers.un.org/jobSearchDescription/279257,Eligibility details should be verified in UN Careers; internship category I-1.,No application fee stated by UN Careers,Needs checking,Needs checking,UN Careers application profile and role-specific materials; exact documents need checking,Internship,Communications,,中,新发现,"Useful for UN communications and data-supported public information experience, though policy substance needs checking.",2026-07-10,2026-07-10,5e7d0acd2d6e5322
PIBBSS Fellowship 2026-2027 Winter Fellowship,fellowship,Fellowship,Principles of Intelligence / PIBBSS,AI safety; AI governance; interdisciplinary research; emerging technologies; policy research,AI治理,中,2026-07-20,待核查,"Cape Town, South Africa；具体形式待核查",https://princint.ai/programs/fellowship,https://princint.ai/programs/fellowship,面向希望转向 AI safety / AI governance 相关研究的跨学科研究者；具体学历、研究背景和国籍要求待核查,待核查,是,https://princint.ai/programs/fellowship,研究兴趣/项目说明、CV、写作或研究样本等待核查,,AI或数字治理,,中,新发现,偏 AI safety 技术/跨学科研究，不是传统国际组织政策岗；若希望补强 AI治理研究经历，可作为中优先级备选。,2026-07-10,2026-07-10,aac50a804aa4b5bb
Rising Voices in Southeast Asian Studies – Shrinking Spaces for Free Inquiry in Southeast Asian Studies,CFP,学术论坛/CFP,Association for Asian Studies Southeast Asia Council,Southeast Asian studies; academic freedom; governance; comparative politics; early-career scholars,国际关系/政治学,中,2026-07-20,2027-03-18 to 2027-03-21,"Boston, Massachusetts, United States; in person",https://www.asianstudies.org/call-for-papers-shrinking-spaces-for-free-inquiry-in-southeast-asian-studies,mailto:aasrisingvoices@gmail.com,"Advanced graduate students, independent scholars, and untenured faculty; preference for scholars based at underfunded institutions from Southeast Asian countries.",Conference registration and travel costs need checking.,Yes,https://www.asianstudies.org/call-for-papers-shrinking-spaces-for-free-inquiry-in-southeast-asian-studies,"Single Word or PDF file including name, affiliation, contact information, current country of residence, 250-word paper abstract, 200-word bio-sketch, and CV up to 4 pages.",,Policy research,,中,新发现,Good early-career academic opportunity if the applicant has Southeast Asia-focused governance or political studies research.,2026-07-10,2026-07-10,fb3153b03c0e2c6c
Programme Management Intern: Supporting the implementation of non-staff capacities in the UNOCT Office in Madrid,internship,Internship,United Nations Office of Counter-Terrorism,programme management; international organizations; UN operations; governance,国际关系/政治学,低,2026-07-21,Needs checking,"Madrid, Spain; hybrid or in-person",https://careers.un.org/jobSearchDescription/280137,https://careers.un.org/jobSearchDescription/280137,UN internship eligibility; student or recent graduate requirements need checking in the job page.,No application fee,No,Needs checking,Online UN Careers application; CV or PHP profile; cover letter or motivation statement may be required; details need checking.,Internship,Programme support,"The host office is security-related, so this is lower priority unless the work is mainly administrative programme support.",中,新发现,"Useful for UN programme management exposure, but review duties carefully because the institutional context is counter-terrorism.",2026-07-10,2026-07-10,c3d256fd3b96eaec
Intern – Communication Affairs,internship,Internship,United Nations Economic and Social Commission for Asia and the Pacific,communications; sustainable development; Asia-Pacific; international organizations; development policy,可持续发展/气候,高,2026-07-22,Needs checking,"New Delhi, India",https://careers.un.org/jobSearchDescription/278761,https://careers.un.org/jobSearchDescription/278761,UN internship eligibility; student or recent graduate requirements need checking in the job page.,No application fee,No,Needs checking,Online UN Careers application; CV or PHP profile; cover letter or motivation statement may be required; details need checking.,Internship,Communications,,高,新发现,Good fit for UN communications experience connected to development work in Asia-Pacific.,2026-07-10,2026-07-10,2e4fad5b5e3fea8a
"CMS Intern, Scientific Unit",internship,Internship,United Nations Environment Programme,environment; biodiversity; multilateral environmental agreements; sustainable development; UN system,可持续发展/气候,低,2026-07-23,Needs checking,"Bonn, Germany",https://careers.un.org/jobSearchDescription/279146,https://careers.un.org/jobSearchDescription/279146,Eligibility details should be verified in UN Careers; internship category I-1.,No application fee stated by UN Careers,Needs checking,Needs checking,UN Careers application profile and role-specific materials; exact documents need checking,Internship,Sustainable development,Scientific and biodiversity specialization may be less aligned unless environmental treaty governance is a target area.,中,新发现,"Worth monitoring for multilateral environmental agreement exposure, but technical fit should be verified.",2026-07-10,2026-07-10,5cf01093dce78040
"Fellow, Climate Policy and Development",fellowship,Fellowship,Center for Global Development,climate policy; development; climate finance; green growth; policy research,可持续发展/气候,高,2026-07-23,Full-time role,"London, United Kingdom",https://centerforglobaldevelopment.applytojob.com/apply/DPzXb2O7aG/Fellow-Climate-Policy-Development,https://centerforglobaldevelopment.applytojob.com/apply/DPzXb2O7aG/Fellow-Climate-Policy-Development,"PhD or Master's degree with extensive work experience; strong climate economics, climate finance or policy expertise; expected 12 or more years of experience.",No application fee indicated.,Yes,https://centerforglobaldevelopment.applytojob.com/apply/DPzXb2O7aG/Fellow-Climate-Policy-Development,"CV, cover letter and writing sample.",,Policy research,,中,新发现,"Excellent climate and development policy role, but seniority requirements are high.",2026-07-10,2026-07-10,92262ac4f1c975fb
Sustainable Development Intern,internship,Internship,United Nations Economic and Social Commission for Asia and the Pacific,sustainable development; Asia-Pacific; UN system; policy research; development,可持续发展/气候,高,2026-07-25,Needs checking,"Bangkok, Thailand",https://careers.un.org/jobSearchDescription/279673,https://careers.un.org/jobSearchDescription/279673,UN internship eligibility; academic enrollment or recent graduation details need checking inside the vacancy page.,No application fee; personal travel and living costs need checking.,Needs checking,Needs checking,"UN Careers profile, education details, motivation statement or cover letter, and supporting information; exact materials need checking.",Internship,Sustainable development,,高,值得申请,Strong fit for UN sustainable development exposure in the Asia-Pacific region; verify detailed duties and eligibility before applying.,2026-07-10,2026-07-10,049cd2f5145ec7c5
"Public Partnership Intern, PPR Asia-Pacific Pillar Office in Tokyo",internship,Internship,UNICEF,partnerships; resource mobilization; ODA analysis; Japan; development cooperation,发展/不平等,高,2026-07-26,"September 2026 to August 2027, 3 to 6 months","Tokyo, Japan; hybrid negotiable",https://jobs.unicef.org/en-us/job/594285/public-partnership-intern-ppr-asiapacific-pillar-office-in-tokyo,https://jobs.unicef.org/en-us/job/594285/public-partnership-intern-ppr-asiapacific-pillar-office-in-tokyo,"Currently enrolled in university or graduate school, or graduated within two years; English and Japanese proficiency required; interest in development cooperation and human security desirable.",No processing fee; visa and health insurance are the candidate's responsibility.,Yes,https://jobs.unicef.org/en-us/job/594285/public-partnership-intern-ppr-asiapacific-pillar-office-in-tokyo,"CV in English and Japanese, cover letter in English, availability information, and online application form.",Internship,Partnerships,,中高,值得申请,"Good fit for development cooperation, donor analysis and IFI-adjacent partnership work.",2026-07-10,2026-07-10,c9aec559d83bc3b2
INTERN - Project Management,internship,Internship,United Nations Department of Operational Support,项目管理;联合国系统;组织治理;运营支持,国际关系/政治学,低,2026-07-30,待核查,New York 或 Remote；full-time 或 part-time,https://careers.un.org/jobSearchDescription/280216,https://careers.un.org/jobSearchDescription/280216,UN Secretariat internship 通常要求在读或近期毕业，具体学历、专业和语言要求以岗位页面为准；待核查,No Fee；实习薪酬/津贴待核查,待核查,待核查,UN Careers/Inspira 在线申请材料；具体材料待核查,Internship,项目支持;治理;战略研究,Specialized role barrier: it,中,新发现,主题不如政策研究直接，但可用于积累联合国内部项目管理经验。,2026-07-10,2026-07-10,176374bd4061b561
Intern - Communications,internship,Internship,United Nations Office of the Special Coordinator on Improving the United Nations Response to Sexual Exploitation and Abuse,communications; public information; UN system; accountability; international organizations,全球治理/国际组织,低,2026-07-30,待核查,New York，页面说明优先线下全职，可考虑兼职,https://careers.un.org/jobSearchDescription/279845,https://careers.un.org/jobSearchDescription/279845,UN internship通常要求在读本科最后一年、在读研究生或毕业一年内；该岗位具体资格需在页面内核查,No Fee,待核查,待核查,UN Careers个人资料、CV/教育信息、动机说明等，具体以系统要求为准,Internship,传播倡导,Specialized role barrier: it,中高,新发现,明确为UN Careers internship，适合希望积累联合国传播与公共信息经验者。,2026-07-10,2026-07-10,4f1e1a426d37b8c9
Call for Papers: Climate Crisis and the Question of Justice,CFP,学术论坛/CFP,Institute of Philosophy of the Czech Academy of Sciences,climate justice; climate governance; political economy; inequality; just transition; debt,可持续发展/气候,高,2026-07-31,Needs checking,"Prague, Czechia; format needs checking",https://www.flu.cas.cz/en/for-schools-and-public/news-archive/call-for-papers/call-for-papers-climate-crisis-and-the-question-of-justice,https://www.flu.cas.cz/en/for-schools-and-public/news-archive/call-for-papers/call-for-papers-climate-crisis-and-the-question-of-justice,"Scholars working on climate crisis, just transition, adaptation policy, climate activism, social impacts or social science and humanities reflections.",Needs checking,Needs checking,Needs checking,Paper proposal through the submission form; exact abstract length needs checking,,政策研究,,中高,新发现,"Strong academic CFP for climate justice, global inequalities, financing transition and governance themes.",2026-07-10,2026-07-10,30903ffdc98a9008
IGF 2026 Call for Session Proposals,CFP,学术论坛/CFP,"Internet Governance Forum (IGF), United Nations",数字治理;互联网治理;AI时代;多利益相关方治理;全球治理,AI治理,高,2026-07-31,2026-12-14至2026-12-18,"Nairobi, Kenya；线上参与安排待核查",https://intgovforum.org/en/content/igf-2026-call-for-session-proposals,https://intgovforum.org/en/content/igf-2026-call-for-session-proposals,面向互联网治理相关多利益相关方社群；具体 session 类型和提交流程以官网为准,待核查,待核查,https://intgovforum.org/en,Session proposal；具体包括主题、组织者、形式、目标等，待核查,,AI或数字治理;政策研究;伙伴关系,,高,值得申请,IGF 2026主题为智能时代的互联网治理，适合提交AI治理、数字公共基础设施或平台治理相关session。,2026-07-10,2026-07-10,f108e3a00611a261
"International Symposium on Governance, Society, and Resilience: Critical Reflections from East Asia",CFP,学术论坛/CFP,The Hang Seng University of Hong Kong Graduate School,governance; society; resilience; East Asia; social policy,国际关系/政治学,高,2026-07-31,Needs checking,"Hong Kong SAR, China",https://gs.hsu.edu.hk/en/international-symposium-on-governance-society-and-resilience-critical-reflections-from-east-asia,https://gs.hsu.edu.hk/en/international-symposium-on-governance-society-and-resilience-critical-reflections-from-east-asia,"Scholars from relevant disciplines may submit original research papers on governance, society and resilience with attention to East Asian contexts.",Needs checking,Needs checking,Needs checking,Original research paper or abstract submission; exact format and word limit need checking.,,Policy research,,中高,值得申请,Strong thematic fit for governance and East Asian studies with a clear open CFP deadline.,2026-07-10,2026-07-10,1617985cf62e6324
Law & AI Academic Fellowship,fellowship,Fellowship,Institute for Law & AI,AI governance; law and AI; corporate governance; technology policy; academic fellowship,AI治理,低,2026-07-31,Needs checking,"Washington DC, Cambridge UK, or remote",https://law-ai.org/career/academic-fellowship,https://law-ai.org/career/academic-fellowship,Aspiring legal scholars intending to pursue the US legal academic job market and produce scholarship on transformative AI law.,No application fee stated,Yes,https://law-ai.org/career/academic-fellowship,Needs checking,,AI or digital governance,Legal academia specialization is strong; prioritize only if AI law scholarship is a serious career pathway.,中,新发现,"High-quality AI governance fellowship, but eligibility is narrow and law-focused.",2026-07-10,2026-07-10,d59803ecbecbe96a
"Call for Papers: Governing Planetary Defense: Politics, Ethics, Law in the Global Response to an Asteroid Threat",CFP,学术论坛/CFP,Global Policy journal special issue editors,global governance; collective action; international institutions; risk governance; science policy,国际关系/政治学,中,2026-08-01,Needs checking,Journal special issue; online submission,https://www.globalpolicyjournal.com/sites/default/files/210426_Planetary%20Defense%20-%20call%20for%20papers%20at%20GP%20-%20v2.pdf,https://www.globalpolicyjournal.com/sites/default/files/210426_Planetary%20Defense%20-%20call%20for%20papers%20at%20GP%20-%20v2.pdf,"Researchers working on politics, ethics, law and global governance of planetary defense; exact submission eligibility needs checking.",Needs checking,Needs checking,Needs checking,Manuscript or proposal requirements need checking in the PDF,,政策研究,,中,新发现,"Niche but relevant to global governance, collective action and international risk governance.",2026-07-10,2026-07-10,e5b6ff9b55f41101
Intern - Social Affairs,internship,Internship,United Nations Department of Economic and Social Affairs,social affairs; sustainable development; inclusion; DESA; international organizations,可持续发展/气候,低,2026-08-04,待核查,UNHQ New York,https://careers.un.org/jobSearchDescription/280461,https://careers.un.org/jobSearchDescription/280461,UN internship通常要求在读本科最后一年、在读研究生或毕业一年内；该岗位具体资格需在页面内核查,No Fee,待核查,待核查,UN Careers个人资料、CV/教育信息、动机说明等，具体以系统要求为准,Internship,可持续发展/政策研究/项目支持,Specialized role barrier: it,高,新发现,DESA社会事务方向与发展、不平等和SDGs相关，需进一步打开岗位正文确认具体处室和任务。,2026-07-10,2026-07-10,1ac4cb0695f515be
JAAS 2026 Autumn Convention Call for Papers,CFP,学术论坛/CFP,Japan Association for Asian Studies and Kobe University,Asian studies; East Asia; international relations; political science; regional studies,发展/不平等,中,2026-08-04,2026-10-24,"Kobe University, Japan",https://www.jaas.or.jp/m2026ae-o,https://www.jaas.or.jp/m2026ae-o,Applicants may submit individual presentations or organized panels; membership and language requirements need checking.,Needs checking,Needs checking,Needs checking,"Presentation title, author information, panel information if applicable, and proposal details.",,Policy research,,中,新发现,"Good East Asian and Asian studies venue if the proposed topic links to governance, regional order or development.",2026-07-10,2026-07-10,77b3d97b779ec598
AAS 2027 Annual Conference Call for Proposals,CFP,学术论坛/CFP,Association for Asian Studies,Asian studies; East Asian studies; political science; international relations; governance; area studies,国际关系/政治学,高,2026-08-05,2027-03-18 to 2027-03-21,"Boston, Massachusetts, United States; in person",https://www.asianstudies.org/conference/call-for-proposals,https://asianstudies.secure-platform.com,"Open to submitters from relevant disciplines and regions in Asia; AAS membership is not required to submit, present, or attend.",Conference registration fees need checking; AAS members receive discounted registration.,Needs checking,https://www.asianstudies.org/conference/call-for-proposals,Proposal information; paper title and abstract; participant information; session data for organized panels; exact requirements depend on submission type.,,Other,,高,值得申请,"Strong fit for East Asian studies, comparative politics, governance, and international relations papers.",2026-07-10,2026-07-10,121a946cf390621c
Civil Society Policy Forum: Annual Meetings 2026 Call for Proposals,CFP,学术论坛/CFP,World Bank Group / International Monetary Fund,civil society; development finance; IMF; World Bank; global economic governance; Annual Meetings,国际金融/债务,高,2026-08-10,2026-10-13至2026-10-16,Bangkok，混合参与,https://www.worldbank.org/en/events/2026/10/13/civil-society-policy-forum-annual-meetings-2026,https://www.surveymonkey.com/r/CSPFatAM26,Call for Proposals面向CSOs和CSO networks；每个组织限主办一个session，个人speaker最多参与两个session,待核查,待核查,待核查,session proposal、主办组织信息、speaker信息等在线表单材料,,政策研究/发展融资/治理/伙伴关系,,高,值得申请,WBG-IMF年会期间最重要的民间社会政策参与入口之一，适合有组织平台或联合提案资源者。,2026-07-10,2026-07-10,5414d9feb6995198
Intern - Economic Affairs (Trade Policy),internship,Internship,United Nations Economic and Social Commission for Asia and the Pacific,trade policy; economic affairs; sustainable development; Asia-Pacific; UN system,可持续发展/气候,高,2026-08-13,Needs checking,"Bangkok, Thailand",https://careers.un.org/jobSearchDescription/280255?language=en,https://careers.un.org/jobSearchDescription/280255?language=en,UN internship eligibility applies; academic enrollment or recent graduation details need checking inside UN Careers.,No application fee; living and travel costs need checking.,Needs checking,Needs checking,"UN Careers profile, education details, motivation statement and supporting documents; exact materials need checking inside UN Careers.",Internship,Development finance,,高,值得申请,"Strong fit for trade, development policy and Asia-Pacific economic governance; verify full duties inside UN Careers with the Internship filter.",2026-07-10,2026-07-10,066bf310d68034c0
32nd AMIC Annual International Conference Call for Abstracts,CFP,学术论坛/CFP,Asian Media Information and Communication Centre,communication governance; public interest; digital communication; Asia; policy analysis,AI治理,中,2026-08-15,2026-11-05 to 2026-11-07,"Manila, Philippines",https://amic.asia/2026-call-for-abstracts,https://amic.asia/2026-call-for-abstracts,"Abstract submissions for empirical research, case studies, best practices, policy analysis or theoretical papers.",Needs checking,Needs checking,Needs checking,"Abstract, author details, paper type and topic selection; exact submission requirements need checking.",,Communications,,中,新发现,"Relevant if framed around media governance, public interest, digital governance or policy communication in Asia.",2026-07-10,2026-07-10,266513256e975515
Things Fall Apart? Towards an Anticipatory International Political Economy in an Age of Global Disorder,workshop,学术论坛/CFP,BISA International Political Economy Working Group,international political economy; climate breakdown; AI platforms; Global South; development finance,可持续发展/气候,高,2026-08-15,2026-10-15 to 2026-10-16,"University of Manchester, United Kingdom",https://www.bisa.ac.uk/members/working-groups/ipeg/news/call-papers-things-fall-apart-towards-anticipatory-international-political-economy-age-global,https://www.bisa.ac.uk/members/working-groups/ipeg/news/call-papers-things-fall-apart-towards-anticipatory-international-political-economy-age-global,"Scholars, students, activists and policy practitioners may submit papers, work-in-progress presentations or panel proposals.",Registration is free for BISA members.,Yes,https://www.bisa.ac.uk/members/working-groups/ipeg/news/call-papers-things-fall-apart-towards-anticipatory-international-political-economy-age-global,"Abstract of up to 200 words; panel title, panel theme and individual abstracts for panel proposals.",,Policy research,,高,值得申请,"Excellent CFP for IPE, climate, AI, Global South and development finance research.",2026-07-10,2026-07-10,4a842c4ebc7690ec
International Conference on Globalization and International Relations VIII,CFP,学术论坛/CFP,IKSAD Institute,globalization; international relations; international organizations; environmental policy; political science,国际关系/政治学,低,2026-08-16,2026-08-24,"Istanbul, Türkiye; online participation available",https://www.iksadkongre.com/iksadsummit,https://www.iksadkongre.com/iksadsummit,"Researchers, policymakers, and scholars working in international relations, political science, economics, environmental policy, and related fields.","Online participation fee listed as 2,500 TL for one paper and 3,500 TL for two papers; in-person fee details need checking.",Needs checking,Needs checking,English abstract; full text is optional and due by 2026-08-30 if submitted.,,Other,Conference quality and indexing should be checked before paying any registration fee.,中,新发现,"Topically relevant for global governance and IR, but verify academic reputation and publication value before submission.",2026-07-10,2026-07-10,5dff2d68156b4744
GovTech Innovation Challenge Series 2026,其他,其他,World Bank Group GovTech and Public Sector Innovation Team,GovTech; digital governance; public sector innovation; AI; digital public infrastructure,AI治理,高,2026-08-21,Needs checking,Needs checking,https://www.worldbank.org/en/programs/govtech,https://www.worldbank.org/en/programs/govtech,Teams or organizations working on GovTech and public sector innovation; detailed eligibility needs checking in the call document.,Needs checking,Needs checking,Needs checking,"Proposal materials, project description, team information and implementation plan; exact materials need checking.",,AI or digital governance,,高,值得申请,"High-value World Bank opportunity for digital governance, GovTech and public sector innovation proposals.",2026-07-10,2026-07-10,d28a1a8519f4ac10
World Bank GovTech Innovation Challenge on Public Audit in Morocco,其他,其他,"World Bank, Swiss State Secretariat for Economic Affairs (SECO), Trust Valley, Morocco General Inspectorate of Finance",GovTech;数字政府;公共财政监督;公共采购审计;数字治理;世界银行,AI治理,中,2026-08-21,2026-10 late October bootcamp；三个月proof of concept开发,Switzerland and Morocco bootcamp；其他环节待核查,https://thedocs.worldbank.org/en/doc/fe7f0dd1987497dff29ed195c6f1423e-0350092026/related/2026-GIC-Joint-Communication-CfP-IGF.pdf,https://govtech.trustvalley.swiss,面向全球technology companies，包括startups、scale-ups和SMEs；须具备相关专业能力并承诺参与项目,待核查,待核查,待核查,技术解决方案proposal；可申请一个或两个challenge；具体材料以申请网站为准,,AI或数字治理;治理;发展融资;战略研究,,中高,新发现,更适合有团队或技术/政策产品方案者，主题连接公共财政监督和GovTech。,2026-07-10,2026-07-10,70c652c709f69e1f
29th IPSA World Congress of Political Science - Call for Panels / Call for Papers,学术年会,学术论坛/CFP,International Political Science Association,political science; governance; global system; international relations; comparative politics,国际关系/政治学,中,2026-08-26,2027-07-24至2027-07-28,待核查,https://wc2027.ipsa.org/wc/important-dates,https://wc2027.ipsa.org/wc/important-dates,Call for Panels 已开放；Call for Papers 将于2026-09-08开放；具体会员、投稿和注册要求待核查,待核查,是,https://wc2027.ipsa.org/wc/important-dates,Panel proposal 或 paper proposal；摘要、作者信息、关键词等具体要求待核查,,政策研究,,中,长期关注,主题为“Uncertain Democracies: Rethinking Governance in a Changing Global System”，适合国际关系、全球治理和政治学方向长期规划。,2026-07-10,2026-07-10,9dd0bd032bacf151
Policy Fellowship on The New Geopolitics of Global Governance,fellowship,Fellowship,"Global Development Institute, University of Manchester and BRICS Plus Thinking Initiative",global governance; AI and digital transition; debt; finance; climate; development,可持续发展/气候,高,2026-08-31,October 2026 to September 2027 or January 2027 to December 2027,"University of Manchester, United Kingdom; part-time equivalent engagement",https://blog.gdi.manchester.ac.uk/policy-fellowship-on-the-new-geopolitics-of-global-governance,https://blog.gdi.manchester.ac.uk/policy-fellowship-on-the-new-geopolitics-of-global-governance,Academic or researcher with a PhD and considerable postdoctoral expertise in global governance.,No application fee indicated.,Yes,https://blog.gdi.manchester.ac.uk/policy-fellowship-on-the-new-geopolitics-of-global-governance,Full CV and two-page research proposal submitted by email.,,Policy research,,高,值得申请,"Very strong thematic match across global governance, AI, debt, finance, climate and development.",2026-07-10,2026-07-10,40cac259c114f461
World Bank Group Pioneers Internship Program – Winter/Fall Cycle,internship,Internship,World Bank Group,development finance; economics; environment; private sector development; social sciences; World Bank,国际金融/债务,高,2026-08-31 或待核查,Applications expected in July–August 2026 for the Winter/Fall cycle,"Washington, DC and country offices worldwide; modality depends on assignment",https://www.worldbank.org/ext/en/careers/talent-programs/wbg-pioneers,https://worldbankgroup.csod.com/ux/ats/careersite/1/home?c=worldbankgroup,Undergraduate final-year students or postgraduate students pursuing a master or PhD; 0–6 years of professional experience; citizen of a WBG member country; fluency in English.,No application fee,Yes,https://www.worldbank.org/ext/en/careers/talent-programs/wbg-pioneers,CV or resume up to 2 pages; cover letter up to 1 page; proof of eligibility such as transcript or enrollment letter.,Internship,Development finance,,高,长期关注,Strong match for development finance and World Bank operational exposure; monitor the CSOD portal immediately because the July–August cycle is current.,2026-07-10,2026-07-10,5d55156ac5b75f5e
ISA Dissertation Completion Fellowship 2026-2027,fellowship,Fellowship,International Studies Association,international studies; dissertation support; political science; international relations; graduate funding,国际关系/政治学,高,2026-09-01,2026-2027 fellowship year,Funding support; location depends on applicant project,https://www.isanet.org/ISA/Governance/Committees/Dissertation-Fellowship/Call,https://www.isanet.org/ISA/Governance/Committees/Dissertation-Fellowship/Call,"ISA graduate student member in later stages of a PhD programme, working on an international studies topic.",ISA membership required; application fee not indicated.,Yes,https://www.isanet.org/ISA/Governance/Committees/Dissertation-Fellowship/Call,"1000-1500 word proposal, one-page funding statement, one-page budget narrative, CV and advisor recommendation letter.",,Policy research,,中高,值得申请,High-value academic funding opportunity for international relations or global governance dissertation work.,2026-07-10,2026-07-10,979fd72ba9ff24b0
Sector Transition: UKRI Policy Fellowships 2026,policy fellowship,Fellowship,UK Research and Innovation,policy fellowship; evidence-informed policy; climate policy; AI-assisted evaluation; government-academia exchange,AI治理,中,2026-09-10,18个月,英国政策部门或相关host partner，具体以fellowship position为准,https://www.ukri.org/opportunity/sector-transition-ukri-policy-fellowships-2026,https://www.ukri.org/opportunity/sector-transition-ukri-policy-fellowships-2026,申请人需为持有博士或能证明同等研究经验的学者，并满足所在机构/host partner资格条件,待核查,是,https://www.ukri.org/opportunity/sector-transition-ukri-policy-fellowships-2026,项目summary、core team、vision、approach to co-design、applicant capability等Funding Service申请材料,,政策研究/气候/AI或数字治理/战略研究,,中高,新发现,含能源安全、气候政策评估和AI辅助政策评估等方向，适合有博士或同等研究经验者。,2026-07-10,2026-07-10,5fb2c3ec6d7090aa
ICCROM Fellowship Applications 2027,visiting fellowship,Fellowship,ICCROM,气候行动;可持续发展;政策议程;数字转型;复杂危机,可持续发展/气候,中,2026-09-15,2027年开展，3-6个月,"Rome, Italy；可部分线上，需说明理由",https://www.iccrom.org/get-involved/fellowships,https://www.iccrom.org/get-involved/fellowships,面向相关研究提案申请者；具体学历、职业背景与研究主题要求待核查,需自行安排旅行、住宿和个人保险；ICCROM提供办公空间、电脑、网络、文具及文献资源,否,https://www.iccrom.org/get-involved/fellowships,在线申请表；需上传相关数字文件，具体包括研究材料/证明文件待核查,,政策研究;可持续发展;气候;战略研究,,中,长期关注,主题需与气候行动、可持续发展或数字转型挂钩；无经费支持，因此优先级低于全资助项目。,2026-07-10,2026-07-10,20a4e0eeb519682e
Special Issue: The Climate-Mental Health Nexus in Global Governance,CFP,学术论坛/CFP,United Nations University Institute on Comparative Regional Integration Studies,climate governance; global governance; environmental multilateralism; social inclusion; policy research,可持续发展/气候,低,2026-09-28,Special issue submission cycle,Online journal submission,https://unu.edu/cris/news/call-papers-special-issue-climate-mental-health-nexus-global-governance,https://www.frontiersin.org/research-topics/79251/the-climate-mental-health-nexus-in-global-governance,"Researchers submitting articles relevant to climate, mental health and global governance.",Article processing charges need checking on the journal submission page.,Needs checking,Needs checking,Full manuscript prepared according to the journal research topic guidelines.,,Policy research,Mental health is not a core priority topic unless framed through climate governance and multilateral policy.,中,新发现,"Keep only if the paper can be framed around climate governance, environmental multilateralism or inclusive global governance.",2026-07-10,2026-07-10,ab60168d1cb06293
2026 Annual Global Development Finance Conference,CFP/学术年会,学术论坛/CFP,"Chartered Institute of Development Finance / Development Finance Centre, UCT GSB / Africagrowth Institute",development finance; sustainable finance; financing for growth; DFIs; blended finance,可持续发展/气候,高,2026-09-30,2026-11-17至2026-11-18,"Cape Town, South Africa",https://www.globalcidef.com/event/2026-annual-global-development-finance-conference,https://www.africagrowth.com/mdevf_emailer/mdevf_mailer_2026.html,面向发展金融和可持续金融领域从业者、学者和研究生；摘要/论文投稿要求见官网,non-presenter 250美元起；academic presenter 300美元；具体以官网为准,待核查,待核查,摘要或论文；注册表；其他待核查,,发展融资/政策研究/战略研究,,中高,新发现,发展融资主题非常匹配，摘要截止仍开放，适合论文或政策研究展示。,2026-07-10,2026-07-10,1056802467b99ce0
Call for Papers: Towards a Global South-driven Future for Development Studies,CFP,学术论坛/CFP,Development Studies Association and partner universities,development studies; Global South; early career researchers; Asia; Africa; funded workshop,发展/不平等,高,2026-09-30,April 2027,"Bandung, Indonesia",https://www.devstud.org.uk/2026/06/09/call-for-papers-towards-a-global-south-driven-future-for-development-studies,https://www.devstud.org.uk/2026/06/09/call-for-papers-towards-a-global-south-driven-future-for-development-studies,Early career researchers based in Asia and Africa working on development broadly conceived.,Needs checking,Yes,https://www.devstud.org.uk/2026/06/09/call-for-papers-towards-a-global-south-driven-future-for-development-studies,"Extended abstract of 750 to 1000 words, short two page CV, and writing sample.",,Policy research,,高,值得申请,"Strong fit for development studies, early career publication building, and Global South research networks, with travel expenses linked to workshop participation.",2026-07-10,2026-07-10,506bba146b868e00
World Bank Group Young Professionals Program 2026-2027,其他,青年项目,World Bank Group,国际发展;发展金融;世界银行;早期职业;多边开发银行,可持续发展/气候,高,2026-09-30,2027-09 入职；面试与评估为2026-12至2027-01,"World Bank Group 全球办公室；新 cohort 从 Washington, DC 开始",https://www.worldbank.org/ext/en/careers/talent-programs/young-professionals-program,https://www.worldbank.org/ext/en/careers/talent-programs/young-professionals-program,World Bank Group成员国国籍；本科后至少2年全职工作经验；2027-09-01前完成相关硕士或以上学历；英语优秀；无年龄限制但面向2-6年相关经验的early-career professionals,无申请费信息；待核查,不适用,待核查,CV/resume、护照照片页、学历证明/成绩单或在读证明,,政策研究;发展融资;战略研究;可持续发展,,高,长期关注,9月1日开放、9月30日截止，是世界银行系统早期职业核心通道，需提前准备材料。,2026-07-10,2026-07-10,c31b0004c3cb7429
